   [paribhāṣā]	[pariBAzA]
   6_7680/ %ṣaḍbhis apavartite jātam/ 1_1280/ evam dattas varāṭakas// iti	6_7680/ %zaxBiH apavartite jAtam/ 1_1280/ evam dattaH varAwaka-s// iti
   prabhāga-jātis// atha bhāga-anubandha-bhāga-apavāhayos karaṇa-sūtram	praBAga--jAti-s// aTa BAga--anubanDa--BAga--apavAhayoH karaNa-sUtram
   sa-%ardham vṛttam/	sa-%arDam vRttam/
   Lil_34a/ cheda-ghna-rūpeṣu lavās dhana-ṛṇam %ekasya bhāgās adhika-ūnakās	Lit-_34a/ Ceda--Gna--rUpezu lavAH Dana-RNam %ekasya BAgAH aDika--UnakAH-
   ced// [upajāti-cd; ab=32]	ced// [upajAti-cd; ab=32]
   Lil_34c/ sva-aṃśa-adhika-ūnas khalu yatra tatra bhāga-anubandhe ca	Lit-_34c/ sva--aMSa--aDika--UnaH Kalu yatra tatra BAga--anubanDe ca
   lava-apavāhe/	lava-apavAhe/
   Lil_34e/ tala-stha-hāreṇa haram @nihanyāt sva-aṃśa-adhika-ūnena tu tena	Lit-_34e/ tala--sTa-hAreNa haram @nihanyAt sva--aMSa--aDika--Unena tu tena
   bhāgān// [upajāti]	BAgAn-// [upajAti]
   Lil_34p/ atra uddeśakas/	Lit-_34p/ atra uddeSakas/
   Lil_35a/ sa-#aṅghri %dvayam %trayam vi-#aṅghri kīdṛś @brūhi savarṇitam/	Lit-_35a/ sa-#aFGri %dvayam %trayam vi-#aFGri kIdRS @brUhi sa-varNitam/
   Lil_35c/ @jānāsi aṃśa-anubandham ced tathā bhāga-apavāhanam//	Lit-_35c/ @jAnAsi aMSa--anubanDam ced taTA BAga-apa-vAhanam//
   Lil_35p/ nyāsas 2_1_4/ 3_-1_4/ savarṇite jātam 9_4/ 11_4// atra uddeśakas/	Lit-_35p/ nyAsaH 2_1_4/ 3_-1_4/ sa-varNite jAtam 9_4/ 11_4// atra uddeSakas/
   Lil_36a/ #aṅghris sva-%tri-aṃśa-yuktas sas nija-#dala-yutas kīdṛśas	Lit-_36a/ #aFGriH sva-%tri--aMSa--yuktaH saH nija-#dala--yutaH kIdRSas
   kīdṛśau %dvau %tri-aṃśau sva-%aṣṭa-aṃśa-hīnau tad-anu ca rahitau tau	kIdRSO %dvO %tri--aMSO sva--%azwa--aMSa--hInO tat--anu ca rahitO tO
   %tribhis %sapta-bhāgais/	%triBiH %sapta-BAgEH-/
   Lil_36c/ %ardham sva-%aṣṭa-aṃśa-hīnam %navabhis atha yutam %saptama-aṃśais	Lit-_36c/ %arDam sva--%azwa--aMSa--hInam %navaBiH aTa yutam %saptama--aMSEH-
   svakīyais kīdṛś @syāt @brūhi @vetsi tvam iha yadi sakhe	svakIyEH kIdRS @syAt @brUhi @vetsi tvam iha yadi saKe
   aṃśa-anubandha-apavāhau// [sragdharā]	aMSa--anubanDa-a-pavAhO// [sraj-DarA]
   Lil_36p/ nyāsas/ {btabular} 1_4 & 2_3 & 1_2 \\ 1_3 & -1_8 & -1_8 \\ 1_2 &	Lit-_36p/ nyAsas/ {bta-bular} 1_4 & 2_3 & 1_2 \\ 1_3 & -1_8 & -1_8 \\ 1_2 &
   -3_7 & 9_7 {etabular} savarṇite jātam/ 1_2/ 1_3/ 1_1// iti	-3_7 & 9_7 {eta-bular} sa-varNite jAtam/ 1_2/ 1_3/ 1_1// iti
   jāti-%catuṣṭayam// atha bhinna-saṃkalita-vyavakalitayos karaṇa-sūtram	jAti-%-catuzwayam// aTa Binna--saMkalita--vyavakalitayoH karaNa-sUtram
   vṛtta-%ardham/	vRtta--%arDam/
   Lil_37/ yogas antaram tulya-hara-aṃśakānām kalpyas haras #rūpam	Lit-_37/ yogaH antaram tulya-hara--aMSakAnAm kalpyaH haraH #rUpam
   ahāra-rāśes// [indravajrā-ab; cd=39]	ahAra--rASes// [indra-vajra-a-ab; cd=39]
   Lil_37p/ atra uddeśakas/	Lit-_37p/ atra uddeSakas/
   Lil_38a/ %pañca-aṃa-#pāda-%tri-lava-%ardha-%ṣaṣṭhān %ekī-kṛtān @brūhi	Lit-_38a/ %paQca-aMa-#pAda-%-tri-lava--%arDa-%-zazWAn %ekI-kRtAn @brUhi
   sakhe mama etān/	saKe mama etAn-/
   Lil_38c/ ebhis ca bhāgais atha varjitānām kim @syāt %trayāṇām @kathaya āśu	Lit-_38c/ eBiH ca BAgEH aTa varjitAnAm kim @syAt %trayANAm @kaTaya ASu
   śeṣam// [indravajrā]	Sezam// [indra-vajrA]
   Lil_38p/ nyāsas 1_5/ 1_4/ 1_3/ 1_2/ 1_6/ aikye jātam 29_20// atha etais	Lit-_38p/ nyAsaH 1_5/ 1_4/ 1_3/ 1_2/ 1_6/ Ekye jAtam 29_20// aTa etEH-
   varjitānām %trayāṇām śeṣam 31_20// iti bhinna-saṃkalita-vyavakalite// atha	varjitAnAm %trayANAm Sezam 31_20// iti Binna--saMkalita--vyavakalite// aTa
   bhinna-guṇane karaṇa-sūtram vṛtta-%ardham/	Binna--guNane karaNa-sUtram vRtta--%arDam/
   Lil_39/ aṃśa-āhatis cheda-vadhena bhaktā labdham vibhinne guṇane phalam	Lit-_39/ aMSa-AhatiH Ceda--vaDena BaktAH labDam viBinne guNane Palam
   @syāt//[indravajrā-cd; ab=37]	@syAt-//[indra-vajrA-cd; ab=37]
   Lil_39p/ atra uddeśakas/	Lit-_39p/ atra uddeSakas/
   Lil_40a/ sa-%tri-aṃśa-rūpa-%dvitayena nighnam sa-%saptama-aṃśa-%dvitayam	Lit-_40a/ sa-%tri-aMSa--rUpa-%-dvitayena niGnam sa-%saptama--aMSa-%-dvitayam
   @bhavet kim/	@Bavet kim/
   Lil_40c/ %ardham %tri-bhāgena hatam ca @viddhi dakṣas @asi bhinne	Lit-_40c/ %arDam %tri-BAgena hatam ca @vidDi dakzaH @asi Binne
   guṇanā-vidhau ced// [upajāti]	guNanA--viDO ced-// [upajAti]
   Lil_40p/ nyāsas 2_1_3/ 2_1_7/ savarṇite jātam 7_3/ 15_7/ guṇite ca jātam	Lit-_40p/ nyAsaH 2_1_3/ 2_1_7/ sa-varNite jAtam 7_3/ 15_7/ guNite ca jAtam
   5_1// nyāsas 1_2/ 1_3/ guṇite jātam 1_6// iti bhinna-guṇanam// atha	5_1// nyAsaH 1_2/ 1_3/ guNite jAtam 1_6// iti Binna--guNa-nam// aTa
   bhinna-bhāga-hāre karaṇa-sūtram vṛtta-%ardham/	Binna--BAga--hAre karaNa-sUtram vRtta--%arDam/
   Lil_41/ chedam lavam ca @parivartya harasya śeṣas kāryas atha bhāga-haraṇe	Lit-_41/ Cedam lavam ca @parivartya harasya SezaH kAryaH aTa BAga-haraNe
   guṇanā-vidhis ca// [vasantatilakā-ab; cd=43]	guNanA--viDiH ca// [vasanta-tilaka-a-ab; cd=43]
   Lil_41p/ atra uddeśakas/	Lit-_41p/ atra uddeSakas/
   Lil_42a/ sa-%tri-aṃśa-rūpa-%dvitayena %pañca %tri-aṃśena %ṣaṣṭham @vada me	Lit-_42a/ sa-%tri-aMSa--rUpa-%-dvitayena %paQca %tri--aMSena %zazWam @vada me
   @vibhajya/	@viBajya/
   Lil_42c/ darbhīya-garbha-agra-su-tīkṣṇa-buddhis ced @asti te bhinna-hṛtau	Lit-_42c/ darBIya-garBa--agra--su-tIkzNa-budDiH ced @asti te Binna--hRtO
   samarthā// [indravajrā]	samarTA// [indra-vajrA]
   Lil_42p/ nyāsas 2_1_3/ 5_1/ 1_3/ 1_6/ yathā-ukta-karaṇena jātam 15_7/	Lit-_42p/ nyAsaH 2_1_3/ 5_1/ 1_3/ 1_6/ yaTA--ukta-karaNena jAtam 15_7/
   1_2// iti bhinna-bhāga-hāras// atha bhinna-varga-ādau karaṇa-sūtram	1_2// iti Binna--BAga--hAras// aTa Binna-varga-AdO karaNa-sUtram
   vṛtta-%ardham/	vRtta--%arDam/
   Lil_43/ varge kṛtī ghana-vidhau tu ghanau vidheyau hāra-aṃśayos atha pade	Lit-_43/ varge kRtI Gana-viDO tu GanO viDeyO hAra--aMSayoH aTa pade
   ca pada-prasiddhyai// [vasantatilakā-cd; ab=41]	ca pada--prasidDi-E// [vasanta-tilakA--cd; ab=41]
   Lil_43p/ atra uddeśakas/	Lit-_43p/ atra uddeSakas/
   Lil_44a/ sa-%ardha-%trayāṇām @kathaya āśu vargam vargāt tatas varga-padam	Lit-_44a/ sa-%arDa-%-trayANAm @kaTaya ASu vargam vargAt tatas varga-padam
   ca mitra/	ca mitra/
   Lil_44c/ ghanam ca mūlam ca ghanāt tatas api @jānāsi ced varga-ghanau	Lit-_44c/ Ganam ca mUlam ca GanAt tatas api @jAnA-asi ced varga--GanO
   vibhinnau// [upajāti]	viBinnO// [upajAti]
   Lil_44p1/ nyāsas 3_1_2/ cheda-ghna-rūpe kṛte jātam 7_2/ asya vargas 49_4/	Lit-_44p1/ nyAsaH 3_1_2/ Ceda--Gna---rUpe kRte jAtam 7_2/ asya vargaH 49_4/
   atas mūlam 7_2/ ghanas 343_8/ asya mūlam 7_2// iti	atas mUlam 7_2/ GanaH 343_8/ asya mUlam 7_2// iti
   bhinna-parikarma-%aṣṭakam//	Binna--parikarma--%azwakam//
   [śūnya-parikarma-aṣṭaka]	[SUnya--parikarma--azwaka]
   Lil_44p2/ atha #śūnya-parikarmasu karaṇa-sūtram āryā-%dvayam/	Lit-_44p2/ aTa #SUnya--parikarmasu karaNa-sUtram AryA-%-dvayam/
   Lil_45a/ yoge #kham kṣepa-samam varga-ādau #kham #kha-bhājitas rāśis/	Lit-_45a/ yoge #Kam kzepa--samam varga-AdO #Kam #Ka-BAjitaH rASi-s/
   Lil_45c/ #kha-haras @syāt #kha-guṇas #kham #kha-guṇas cintyas ca	Lit-_45c/ #Ka--haraH @syAt #Ka--guNaH #Kam #Ka-guNaH cintyaH ca
   śeṣa-vidhau// [āryā]	Seza--viDO// [AryA]
   Lil_46a/ #śūnye guṇake jāte #kham hāras ced punar tadā rāśis/	Lit-_46a/ #SUnye guNake jAte #Kam hAraH ced punar tadA rASi-s/
   Lil_46c/ avikṛtas eva jñeyas tathā eva #khena ūnitas ca yutas// [āryā]	Lit-_46c/ avikRtaH eva jQeyaH taTA eva #Kena UnitaH ca yutas// [AryA]
   Lil_46p/ atra uddeśakas/	Lit-_46p/ atra uddeSakas/
   Lil_47a/ #kham %pañca-yuk @bhavati kim @vada khasya vargam mūlam ghanam	Lit-_47a/ #Kam %paQca-yuj @Bavati kim @vada Kasya vargam mUlam Ganam
   ghana-padam #kha-guṇās ca %pañca/	Gana-padam #Ka--guNAH ca %paQca/
   Lil_47c/ #khena uddhṛtās %daśa ca kas %kha-guṇas nija-%ardha-yuktas	Lit-_47c/ #Kena udDRtAH %daSa ca kaH %Ka-guNaH nija-%arDa--yukta-s
   %tribhis ca guṇitas sva-hatas %triṣaṣṭis// [vasantatilakā]	%triBiH ca guNitaH sva-hataH %trizazwi-s// [vasanta-tilakA]
   Lil_47p1/ nyāsas 0/ etat %pañca-yutam jātam 5/ #khasya vargas 0/ mūlam 0/	Lit-_47p1/ nyAsaH 0/ etat %paQca-yutam jAtam 5/ #Kasya vargaH 0/ mUlam 0/
   ghanam 0/ ghana-mūlam 0// nyāsas 5/ ete #khena guṇitās jātās 0// nyāsas	Ganam 0/ Gana-mUlam 0// nyAsaH 5/ ete #Kena guNitAH jAtAH 0// nyAsas
   10/ ete #kha-bhaktās 10_0// ajñātas rāśis tasya guṇas 0/ sva-%ardham	10/ ete #Ka-BaktAH 10_0// ajQAtaH rASiH tasya guNaH 0/ sva-%arDam
   kṣepas 1_2/ guṇas 3/ haras 0/ dṛśyam 63/ tatas vakṣyamāṇena viloma-vidhinā	kzepaH 1_2/ guNaH 3/ haraH 0/ dRSyam 63/ tatas vakzyamANena viloma--viDinA
   iṣṭa-karmaṇā vā labdhas rāśis 14// asya gaṇitasya graha-gaṇite	izwa-karmaNA vA labDaH rASiH 14// asya gaNitasya graha--gaNite
   mahān upayogas// iti śūnya-parikarma-%aṣṭakam//	mahAn upayoga-s// iti SUnya--parikarma-%azwakam//
   [prakīrṇaka]	[prakIrNaka]
   Lil_47p2/atha vyasta-vidhau karaṇa-sūtram vṛtta-%dvayam/	Lit-_47p2/aTa vyasta-viDO karaNa-sUtram vRtta-%-dvayam/
   Lil_48a/ chedam guṇam guṇam chedam vargam mūlam padam kṛtim/	Lit-_48a/ Cedam guNam guNam Cedam vargam mUlam padam kRtim/
   Lil_48c/ ṛṇam svam svam ṛṇam @kuryāt dṛśye rāśi-prasiddhaye// [śloka]	Lit-_48c/ RNam svam svam RNam @kuryAt dRSye rASi--prasidDaye// [Sloka]
   Lil_49a/ atha sva-aṃśa-adhika-ūne tu lava-āḍhya-ūnas haras haras/	Lit-_49a/ aTa sva--aMSa--aDika--Une tu lava-AXya--UnaH haraH haras/
   Lil_49c/ aṃśas tu avikṛtas tatra vilome śeṣam ukta-vat// [śloka]	Lit-_49c/ aMSaH tu avikRtaH tatra vilome Sezam ukta-vat// [Sloka]
   Lil_49p/ atra uddeśakas/	Lit-_49p/ atra uddeSakas/
   Lil_50a/ yas %tri-ghnas %tribhis anvitas sva-#caraṇais bhaktas tatas	Lit-_50a/ yaH %tri-GnaH %triBiH anvitaH sva--#caraNEH BaktaH tatas-
   %saptabhis sva-%tri-aṃśena vivarjitas sva-guṇitas hīnas %dvipañcāśatā/	%saptaBiH sva-%tri--aMSena vivarjitaH sva--guNitaH hInaH %dvipaQcASatA/
   Lil_50c/ tad-mūle %aṣṭa-yute hṛte ca %daśabhis jātam %dvayam @brūhi tam	Lit-_50c/ tad--mUle %azwa--yute hRte ca %daSaBiH jAtam %dvayam @brUhi tam
   rāśim @vetsi hi cañcala-akṣi vimalām bāle viloma-kriyām//	rASim @vetsi hi caQcala--akzi vimalAm bAle viloma--kriyAm//
   [śārdūlavikrīḍita]	[SArdUla-vikrIxita]
   Lil_50p/ nyāsas guṇas 3/ kṣepas 3_4/ bhājakas 7/ ṛṇam 1_3/ vargas/ ṛṇam	Lit-_50p/ nyAsaH guNaH 3/ kzepaH 3_4/ BAjakaH 7/ RNam 1_3/ vargas/ RNam
   52/ mūlam/ kṣepas 8/ haras 10/ dṛśyam 2/ yathā-ukta-karaṇena jātas rāśis	52/ mUlam/ kzepaH 8/ haraH 10/ dRSyam 2/ yaTA--ukta-karaNena jAtaH rASis
   28// iti vyasta-vidhis// atha iṣṭa-karmasu	28// iti vyasta--viDi-s// aTa izwa-karmasu
   dṛśya-jāti-śeṣa-jāti-viśleṣa-jāti-ādau karaṇa-sūtram vṛttam/	dRSya--jAti--Seza--jAti-viSleza--jAti--AdO karaNa-sUtram vRttam/
   Lil_51a/ uddeśaka-ālāpa-vat iṣṭa-rāśis kṣuṇṇas hṛtas aṃśais rahitas yutas	Lit-_51a/ uddeSa-ka-Ala-apa-vat izwa-rASiH kzuNNaH hRtaH aMSEH rahitaH yutas
   vā/	vA/
   Lil_51c/ iṣṭa-āhatam dṛṣṭam anena bhaktam rāśis @bhavet proktam iti	Lit-_51c/ izwa-A-hatam dRzwam anena Baktam rASiH @Bavet proktam iti
   iṣṭa-karma// [indravajrā]	izwa-karma// [indra-vajrA]
   Lil_51p/ udāharaṇam/	Lit-_51p/ udAharaNam/
   Lil_52a/ %pañca-ghnas sva-%tri-bhāga-ūnas %daśa-bhaktas samanvitas/	Lit-_52a/ %paQca-GnaH sva-%tri-BAga--UnaH %da-Sa--BaktaH samanvitas/
   Lil_52c/ rāśi-%tri-aṃśa-%ardha-pādais @syāt kas rāśis %dvi-ūna-%saptatis//	Lit-_52c/ rASi-%tri--aMSa-%arDa--pAdEH @syAt kaH rASiH %dvi-Una-%-saptati-s//
   [śloka]	[Sloka]
   Lil_52p/ nyāsas/ guṇas 5/ sva-aṃśa-ṛṇam -1_3/ [āpaṭe: 0_1_3] ūnas 1_3/	Lit-_52p/ nyAsas/ guNaH 5/ sva--aMSa-RNam -1_3/ [a-Apawe: 0_1_3] UnaH 1_3/
   bhāga-hāras 10/ rāśi-aṃśakās kṣepās 1_3/ 1_2/ 1_4/ dṛśyam 68/ atra kila	BAga-hAraH 10/ rASi-aMSakAH kzepAH 1_3/ 1_2/ 1_4/ dRSyam 68/ atra kila
   iṣṭa-rāśis 3/ %pañca-ghnas 15/ sva-%tri-bhāga-ūnas 10/ %daśa-bhaktas 1/	izwa-rASiH 3/ %paQca-GnaH 15/ sva-%tri-BAga--UnaH 10/ %da-Sa--BaktaH 1/
   atra kalpita-rāśes 3 %tri-aṃśa-%ardha-#pādais 3_3/ 3_2/ 3_4/ etais	atra kalpita--rASeH 3 %tri--aMSa--%arDa-#pAdEH 3_3/ 3_2/ 3_4/ etEH-
   samanvitas jātas 17_4/ anena dṛṣṭam 68/ iṣṭa-āhatam bhaktam jātas rāśis	samanvitaH jAtaH 17_4/ anena dRzwam 68/ izwa-A-hatam Baktam jAtaH rASis
   evam yatra udāharaṇe rāśis kena-cit guṇitas bhaktas vā rāśi-aṃśena rahitas	evam yatra udAharaNe rASiH kena-cid guNitaH BaktaH vA rASi-aMSena rahitas
   yutas vā dṛṣṭas tatra iṣṭam rāśim @prakalpya tasmin uddeśaka-ālāpa-vat	yutaH vA dRzwaH tatra izwam rASim @prakalpya tasmin uddeSa-ka-Ala-apa-vat-
   karmaṇi kṛte yat @niṣpadyate tena @bhajet dṛṣṭam iṣṭa-guṇam phalam rāśis	karmaNi kRte yat @nizpadyate tena @Bajet dRzwam izwa-guNam Palam rASis
   @syāt// atha dṛśya-jāti-udāharaṇam/	@syAt// aTa dRSya--jAti--udAharaNam/
   Lil_53a/ amala-kamala-rāśes %tri-aṃśa-%pañca-aṃśa-%ṣaṣṭhais	Lit-_53a/ amala-kamala-rASeH %tri--aMSa-%-paQca--aMSa-%-zazWEH-
   %tri-nayana-hari-sūryās yena %turyeṇa ca āryā/	%tri--nayana--hari--sUryAH yena %turyeNa ca AryA/
   Lil_53c/ guru-padam atha %ṣaḍbhis pūjitam śeṣa-padmais	Lit-_53c/ guru-padam aTa %zaxBiH pUjitam Seza--padmEH-
   sakala-kamala-saṃkhyām kṣipram @ākhyāhi tasya// [mālinī]	sakala--kamala--saMKyAm kzipram @AKyAhi tasya// [mAlinI]
   Lil_53p/ nyāsas 1_3/ 1_5/ 1_6/ 1_4/ dṛśyam 6/ atra iṣṭam #rūpam 1 rāśim	Lit-_53p/ nyAsaH 1_3/ 1_5/ 1_6/ 1_4/ dRSyam 6/ atra izwam #rUpam 1 rASim
   @prakalpya prāk-vat jātas rāśis 120// atha śeṣa-jāti-udāharaṇam/	@prakalpya prAk---vat jAtaH rASiH 120// aTa Seza--jAti--udAharaNam/
   Lil_54a/ sva-%ardham @prādāt prayāge %nava-lava-#yugalam yas avaśeṣāt ca	Lit-_54a/ sva-%arDam @prAdAt prayAge %nava-lava--#yugalam yaH avaSezAt ca
   kāśyām śeṣa-#aṅghrim śulka-hetos pathi %daśama-lavān %ṣaṭ ca śeṣāt	kASyAm Seza-#aFGrim Sulka-hetoH paTi %daSama-lavAn %zaw ca SezAt-
   gayāyām/	gayAyAm/
   Lil_54c/ śiṣṭās niṣka-%triṣaṣṭis nija-gṛham anayā tīrtha-pānthas prayātas	Lit-_54c/ SizwAH nizka-%trizazwiH nija--gRham anayA tIrTa-pAnTaH prayAta-s
   tasya dravya-pramāṇam @vada yadi bhavatā śeṣa-jātis śrutā @asti//	tasya dravya-pramANam @vada yadi BavatA Seza-jAtiH SrutAH @asti//
   [sragdharā]	[sraj-DarA]
   Lil_54p/ nyāsas 1_1/ 1_2/ 2_9/ 1_4/ 6_10/ dṛśyam 63/ atra #rūpam 1 rāśim	Lit-_54p/ nyAsaH 1_1/ 1_2/ 2_9/ 1_4/ 6_10/ dRSyam 63/ atra #rUpam 1 rASim
   @prakalpya bhāgān śeṣān śeṣāt @apāsya atha vā bhāga-apavāha-vidhinā	@prakalpya BAgAn SezAn SezAt @apAsya aTa vA BAga-apavAha--viDinA
   savarṇite jātam 7_60/ anena dṛṣṭe 63 iṣṭa-guṇite bhakte jātam	sa-varNite jAtam 7_60/ anena dRzwe 63 izwa-guNite Bakte jAtam
   dravya-pramāṇam 540// idam viloma-sūtreṇa api @sidhyati// atha	dravya-pramANam 540// idam viloma--sUtreNa api @siDyati// aTa
   viśleṣa-jāti-udāharaṇam/	viSleza--jAti--udAharaNam/
   Lil_55a/ %pañca-aṃśas ali-kulāt kadambam @agamat %tri-aṃśas śilīndhram	Lit-_55a/ %paQca-aMSaH ali-kulAt kadambam @agamat %tri-aMSaH SilInDram
   tayos viśleṣas %tri-guṇas mṛga-akṣi kuṭajam dolāyamānas aparas/	tayoH viSlezaH %tri-guNaH mRga--akzi kuwajam dolAyamAnaH aparas/
   Lil_55c/ kānte ketaka-mālatī-parimala-prāpta-%eka-kāla-priyā-dūta-āhūtas	Lit-_55c/ kAnte ketaka-mAlatI--parimala--prApta-%eka---kAla--priyA--dUta--AhUta-s
   itas tatas @bhramati khe bhṛṅgas ali-saṃkhyām @vada// [śārdūlavikrīḍita]	itas tatas @Bramati Ke BRFgaH ali--saMKyAm @vada// [SArdUla-vikrIxita]
   Lil_55p/ nyāsas 1_5/ 1_3/ 2_5/ dṛśyam 1/ jātam ali-kula-mānam 15// evam	Lit-_55p/ nyAsaH 1_5/ 1_3/ 2_5/ dRSyam 1/ jAtam ali-kula-mAnam 15// evam
   anyatra api// iti iṣṭa-karma// atha saṃkramaṇe karaṇa-sūtram vṛtta-ardham/	anyatra api// iti izwa-karma// aTa saMkramaNe karaNa-sUtram vRtta--arDam/
   Lil_56/ yogas antareṇa ūna-yutas ardhitas tau rāśī smṛtau	Lit-_56/ yogaH antareNa Una-yutaH arDitaH tO rASI smRtO
   saṃkramaṇa-ākhyam etat// [indravajrā-ab; cd=58]	saMkramaNa-AKyam etat// [indra-vajra-a-ab; cd=58]
   Lil_56p/ atra uddeśakas/	Lit-_56p/ atra uddeSakas/
   Lil_57a/ yayos yogas %śatam sa-%ekam viyogas %pañcaviṃśatis/	Lit-_57a/ yayoH yogaH %Satam sa-%ekam viyogaH %paQcaviMSati-s/
   Lil_57c/ tau rāśī @vada me vatsa @vetsi saṃkramaṇam yadi// [śloka]	Lit-_57c/ tO rASI @vada me vatsa @vetsi saMkramaNam yadi// [Sloka]
   Lil_57p/ nyāsas/ yogas 101/ antaram 25/ jātau rāśī 38/ 63//	Lit-_57p/ nyAsas/ yogaH 101/ antaram 25/ jAtO rASI 38/ 63//
   varga-saṃkramaṇe karaṇa-sūtram vṛtta-%ardham/	varga--saMkramaNe karaNa-sUtram vRtta--%arDam/
   Lil_58/ varga-antaram rāśi-viyoga-bhaktam yogas tatas prokta-vat eva	Lit-_58/ varga-antaram rASi--viyoga--Baktam yogaH tatas prokta-vat eva
   rāśī// [indravajrā-cd; ab=56]	rASI// [indra-vajrA-cd; ab=56]
   Lil_58p/ uddeśakas/	Lit-_58p/ uddeSakas/
   Lil_59a/ rāśyos yayos viyogas %aṣṭau tad-kṛtyos ca %catuḥśatī/	Lit-_59a/ rASyoH yayoH viyogaH %azwO tad--kRtyoH ca %catuHSatI/
   Lil_59c/ vivaram @brūhi tau rāśī śīghram gaṇita-kovida// [śloka]	Lit-_59c/ vivaram @brUhi tO rASI SIGram gaNita-kovida// [Sloka]
   Lil_59p/ nyāsas/ rāśi-antaram 8/ kṛti-antaram 400/ jātau rāśī 21/ 29// iti	Lit-_59p/ nyAsas/ rASi-antaram 8/ kRti-antaram 400/ jAtO rASI 21/ 29// iti
   viṣama-karma// atha kiṃcit varga-karma @procyate/	vizama-karma// aTa kiMcid varga-karma @procyate/
   Lil_60a/ iṣṭa-kṛtis %aṣṭa-guṇitā vi-%ekā dalitā vibhājitā iṣṭena/	Lit-_60a/ izwa-kRtiH %azwa--guNitA vi-%ekAH dalitAH viBAjitAH izwena/
   Lil_60c/ %ekas @syāt asya kṛtis dalitā sa-%ekā aparas rāśis//	Lit-_60c/ %ekaH @syAt asya kRtiH dalitA sa-%ekAH aparaH rASi-s//
   Lil_61a/ #rūpam %dvi-guṇa-iṣṭa-hṛtam sa-iṣṭam %prathamas atha vā aparas	Lit-_61a/ #rUpam %dvi-guNa--izwa--hRtam sa--izwam %praTamaH aTa vE aparas
   #rūpam/	#rUpam/
   Lil_61c/ kṛti-yuti-viyutī vi-%eke vargau @syātām yayos rāśyos//	Lit-_61c/ kRti--yuti--viyutI vi-%eke vargO @syAtAm yayoH rASyos//
   Lil_61p/ uddeśakas/	Lit-_61p/ uddeSakas/
   Lil_62a/ rāśyos yayos kṛti-viyoga-yutī nis-%eke mūla-prade @pravada tau	Lit-_62a/ rASyoH yayoH kRti--viyoga--yutI nis-%eke mUla--prade @pravada tO
   mama mitra yatra/	mama mitra yatra/
   Lil_62c/ @kliśyanti bīja-gaṇite paṭavas api mūḍhās	Lit-_62c/ @kliSyanti bIja--gaNite pawavaH api mUXAH-
   %ṣoḍhā-ukta-bīja-gaṇitam paribhāvayantas//	%zoXa-a-ukta-bIja--gaNitam pariBAvayantas//
   Lil_62p/ atra %prathama-ānayane kalpitam iṣṭam 1_2/ asya kṛtis 1_4/	Lit-_62p/ atra %praTama--a-Anayane kalpitam izwam 1_2/ asya kRtiH 1_4/
   %aṣṭa-guṇitā 2/ iyam vi-%ekā 1/ dalitā 1_2/ iṣṭena 1_2 hṛtas jātas	%azwa--guNitA 2/ iyam vi-%ekAH 1/ dalitA 1_2/ izwena 1_2 hRtaH jAta-s
   %prathamas rāśis 1// asya kṛtis 1/ dalitā 1_2/ sa-%ekā 3_2/ ayam aparas	%praTamaH rASiH 1// asya kRtiH 1/ dalitA 1_2/ sa-%ekA 3_2/ ayam aparas
   rāśis/ evam etau rāśī 1_1/ 3_2// evam %ekena iṣṭena jātau rāśī 7_2/ 57_8//	rASis/ evam etO rASI 1_1/ 3_2// evam %ekena izwena jAtO rASI 7_2/ 57_8//
   %dvikena 31_4/ 993_32// atha %dvitīya-prakāreṇa iṣṭam 1/ anena %dvi-guṇena	%dvikena 31_4/ 993_32// aTa %dvitIya--prakAreNa izwam 1/ anena %dvi-guNena
   2 %rūpam 1 bhaktam 1_2/ iṣṭena sahitam jātas %prathamas rāśis 3_2/	2 %rUpam 1 Baktam 1_2/ izwena sahitam jAtaH %praTamaH rASiH 3_2/
   %dvitīyas #rūpam 1/ evam rāśī 3_2/ 1_1// evam %dvikena iṣṭena 9_4/ 1_1//	%dvitIyaH #rUpam 1/ evam rASI 3_2/ 1_1// evam %dvikena izwena 9_4/ 1_1//
   %trikeṇa 19_6/ 1_1// %tri-aṃśena 11_6/ 1-1// atha vā sūtram/	%trikeNa 19_6/ 1_1// %tri-aMSena 11_6/ 1-1// aTa vA sUtram/
   Lil_63a/ iṣṭasya varga-vargas ghanas ca tau %aṣṭa-saṃguṇau %prathamas/	Lit-_63a/ izwasya varga-vargaH GanaH ca tO %azwa--saMguNO %praTama-s/
   Lil_63c/ sa-%ekas rāśī @syātām evam vyakte atha vā avyakte//	Lit-_63c/ sa-%ekaH rASI @syAtAm evam vyakte aTa vA avyakte//
   Lil_63p/ iṣṭam 1_2/ asya varga-vargas 1_16/ %aṣṭa-ghnas 1_2/ sa-%ekas	Lit-_63p/ izwam 1_2/ asya varga-vargaH 1_16/ %azwa-GnaH 1_2/ sa-%ekas
   jātas %prathamas rāśis 3-2/ punar iṣṭam 1_2/ asya ghanas 1_8/ %aṣṭa-guṇas	jAtaH %praTamaH rASiH 3-2/ punar izwam 1_2/ asya GanaH 1_8/ %azwa-guNa-s
